"","title","mon","c"
"1","全般台風情報（詳細）","2013/08/01",13
"2","土砂災害警戒情報","2014/05/01",4
"3","特殊気象報","2014/06/01",32
"4","気象特別警報・警報・注意報","2014/06/01",4330
"5","府県天気予報","2013/05/01",5918
"6","府県週間天気予報","2013/11/01",3361
"7","津波情報a","2013/10/01",6
"8","紫外線観測データ","2013/09/01",510
"9","特殊気象報","2014/03/01",138
"10","全般台風情報（定型）","2013/11/01",2
"11","紫外線観測データ","2013/02/01",476
"12","気象特別警報・警報・注意報","2014/03/01",4012
"13","噴火警報・予報","2013/11/01",1
"14","地方気象情報","2013/05/01",24
"15","生物季節観測","2013/01/01",34
"16","府県週間天気予報","2014/04/01",3361
"17","気象警報・注意報","2014/05/01",3470
"18","台風解析・予報情報（５日予報）","2014/03/01",12
"19","地方１か月予報","2014/07/01",22
"20","全般台風情報（定型）","2014/04/01",2
"21","地方潮位情報","2013/09/01",9
"22","噴火に関する火山観測報","2013/10/01",214
"23","全般海上警報（臨時）","2013/08/01",45
"24","地方潮位情報","2013/02/01",2
"25","府県週間天気予報","2013/03/01",3310
"26","特殊気象報","2013/04/01",285
"27","東海地震観測情報","2013/05/01",1
"28","地方暖・寒候期予報","2014/02/01",11
"29","震度速報","2014/07/01",10
"30","全般１か月予報","2014/03/01",4
"31","気象警報・注意報","2013/10/01",3621
"32","噴火に関する火山観測報","2014/05/01",53
"33","地方３か月予報","2014/04/01",11
"34","津波警報・注意報・予報","2014/04/01",2
"35","東海地震観測情報","2014/02/01",1
"36","全般気象情報","2013/04/01",16
"37","全般１か月予報","2014/06/01",4
"38","紫外線観測データ","2013/12/01",527
"39","地方海上予報","2014/07/01",292
"40","府県潮位情報","2014/01/01",12
"41","全般海上警報（臨時）","2013/06/01",5
"42","異常天候早期警戒情報","2014/07/01",11
"43","地方３か月予報","2013/03/01",11
"44","全般１か月予報","2013/04/01",4
"45","全般潮位情報","2014/07/01",1
"46","全般気象情報","2014/06/01",21
"47","土砂災害警戒情報","2013/10/01",58
"48","府県天気予報","2014/02/01",5235
"49","地方潮位情報","2013/12/01",3
"50","全般３か月予報","2013/01/01",1
"51","全般台風情報（詳細）","2013/06/01",5
"52","全般気象情報","2014/03/01",19
"53","全般天候情報","2013/12/01",1
"54","地方気象情報","2014/02/01",146
"55","地方３か月予報","2013/11/01",11
"56","全般３か月予報","2013/07/01",1
"57","顕著な地震の震源要素更新のお知らせ","2013/02/01",1
"58","異常天候早期警戒情報","2013/08/01",59
"59","気象特別警報・警報・注意報","2014/05/01",3470
"60","顕著な地震の震源要素更新のお知らせ","2013/09/01",1
"61","全般気象情報","2013/10/01",1
"62","土砂災害警戒情報","2014/06/01",90
"63","地方１か月予報","2013/06/01",44
"64","特殊気象報","2014/05/01",190
"65","地方海上予報","2013/08/01",751
"66","津波情報","2014/04/01",13
"67","震度速報","2013/08/01",22
"68","震源に関する情報","2013/09/01",12
"69","気象警報・注意報","2013/04/01",4201
"70","震源に関する情報","2013/02/01",29
"71","府県潮位情報","2013/05/01",14
"72","気象警報・注意報","2014/06/01",4330
